,TickerSymbol,ContractName,Open,High,Low,Close,Settlement,Volume,OpenInterest,Date
0,PEGAS G8BM022022,Feb-2022,68.75,80.0,68.75,76.0,81.82,81.0,10203,2022-01-03T00:00:00.0000000
1,PEGAS G8BM022022,Feb-2022,87.5,97.5,87.5,96.0,90.606,66.0,10247,2022-01-04T00:00:00.0000000
2,PEGAS G8BM022022,Feb-2022,94.45,95.7,92.45,92.45,93.142,51.0,10282,2022-01-05T00:00:00.0000000
3,PEGAS G8BM022022,Feb-2022,97.55,97.55,93.0,94.5,97.729,1123.0,11158,2022-01-06T00:00:00.0000000
4,PEGAS G8BM022022,Feb-2022,94.8,97.0,86.9,86.9,90.361,112.0,11257,2022-01-07T00:00:00.0000000
5,PEGAS G8BM022022,Feb-2022,86.2,91.95,86.0,86.0,86.822,210.0,11437,2022-01-10T00:00:00.0000000
6,PEGAS G8BM022022,Feb-2022,85.0,85.5,81.5,81.5,80.259,139.0,11556,2022-01-11T00:00:00.0000000
7,PEGAS G8BM022022,Feb-2022,83.5,83.5,76.8,76.8,77.269,214.0,11872,2022-01-12T00:00:00.0000000
8,PEGAS G8BM022022,Feb-2022,74.4,84.0,74.4,84.0,87.093,386.0,12246,2022-01-13T00:00:00.0000000
9,PEGAS G8BM022022,Feb-2022,95.0,95.0,90.0,92.5,88.217,396.0,12556,2022-01-14T00:00:00.0000000
10,PEGAS G8BM022022,Feb-2022,84.0,86.6,78.8,78.8,78.68,92.0,12643,2022-01-17T00:00:00.0000000
11,PEGAS G8BM022022,Feb-2022,81.5,82.0,79.0,80.25,79.915,207.0,12850,2022-01-18T00:00:00.0000000
12,PEGAS G8BM022022,Feb-2022,74.0,76.4,74.0,76.4,77.617,271.0,13074,2022-01-19T00:00:00.0000000
13,PEGAS G8BM022022,Feb-2022,73.0,77.95,72.5,77.95,76.651,231.0,13299,2022-01-20T00:00:00.0000000
14,PEGAS G8BM022022,Feb-2022,78.0,84.5,78.0,81.0,81.2,489.0,14088,2022-01-21T00:00:00.0000000
15,PEGAS G8BM022022,Feb-2022,85.5,96.0,85.5,94.0,95.13,288.0,14481,2022-01-24T00:00:00.0000000
16,PEGAS G8BM022022,Feb-2022,92.0,96.5,92.0,93.45,95.985,361.0,15223,2022-01-25T00:00:00.0000000
17,PEGAS G8BM022022,Feb-2022,91.0,94.5,91.0,92.675,94.075,318.0,15668,2022-01-26T00:00:00.0000000
18,PEGAS G8BM022022,Feb-2022,94.0,95.0,92.875,93.0,94.971,399.0,16042,2022-01-27T00:00:00.0000000
19,PEGAS G8BM022022,Feb-2022,94.85,94.85,93.0,94.0,94.514,379.0,16544,2022-01-28T00:00:00.0000000
20,PEGAS G8BM032022,Mar-2022,89.0,90.0,86.8,86.8,86.631,97.0,8774,2022-01-31T00:00:00.0000000
21,PEGAS G8BM032022,Mar-2022,78.1,78.6,76.5,77.7,77.7,166.0,8922,2022-02-01T00:00:00.0000000
