Date,Settlement
2022-01-03,81.82
2022-01-04,90.606
2022-01-05,93.142
2022-01-06,97.729
2022-01-07,90.361
2022-01-08,90.361
2022-01-09,90.361
2022-01-10,86.822
2022-01-11,80.259
2022-01-12,77.269
2022-01-13,87.093
2022-01-14,88.217
2022-01-15,88.217
2022-01-16,88.217
2022-01-17,78.68
2022-01-18,79.915
2022-01-19,77.617
2022-01-20,76.651
2022-01-21,81.2
2022-01-22,81.2
2022-01-23,81.2
2022-01-24,95.13
2022-01-25,95.985
2022-01-26,94.075
2022-01-27,94.971
2022-01-28,94.514
2022-01-29,94.514
2022-01-30,94.514
2022-01-31,86.631
2022-02-01,77.7
2022-02-02,79.649
2022-02-03,82.348
2022-02-04,84.519
2022-02-05,84.519
2022-02-06,84.519
2022-02-07,81.455
2022-02-08,79.312
2022-02-09,76.494
2022-02-10,76.312
2022-02-11,79.638
2022-02-12,79.638
2022-02-13,79.638
2022-02-14,83.055
2022-02-15,71.3
2022-02-16,71.999
2022-02-17,77.07
2022-02-18,76.095
2022-02-19,76.095
2022-02-20,76.095
2022-02-21,74.3
2022-02-22,81.688
2022-02-23,90.321
2022-02-24,136.35
2022-02-25,95.433
2022-02-26,95.433
2022-02-27,95.433
2022-02-28,100.132
2022-03-01,123.0
2022-03-02,167.119
2022-03-03,163.445
2022-03-04,195.16
2022-03-05,195.16
2022-03-06,195.16
2022-03-07,227.377
2022-03-08,215.629
2022-03-09,156.168
2022-03-10,125.276
2022-03-11,133.972
2022-03-12,133.972
2022-03-13,133.972
2022-03-14,116.655
2022-03-15,116.486
2022-03-16,103.081
2022-03-17,105.071
2022-03-18,106.781
2022-03-19,106.781
2022-03-20,106.781
2022-03-21,97.438
2022-03-22,100.167
2022-03-23,117.715
2022-03-24,112.206
2022-03-25,103.941
2022-03-26,103.941
2022-03-27,103.941
2022-03-28,103.677
2022-03-29,109.439
2022-03-30,119.9
2022-03-31,126.85
2022-04-01,114.61
2022-04-02,114.61
2022-04-03,114.61
2022-04-04,111.25
2022-04-05,110.283
2022-04-06,108.42
2022-04-07,106.745
2022-04-08,105.21
2022-04-09,105.21
2022-04-10,105.21
2022-04-11,102.33
2022-04-12,105.01
2022-04-13,108.335
2022-04-14,98.627
2022-04-15,98.627
2022-04-16,98.627
2022-04-17,98.627
2022-04-18,98.627
2022-04-19,96.65
2022-04-20,98.01
2022-04-21,103.5
2022-04-22,98.78
2022-04-23,98.78
2022-04-24,98.78
2022-04-25,95.9
2022-04-26,106.0
2022-04-27,111.05
2022-04-28,102.28
2022-04-29,102.41
2022-04-30,102.41
2022-05-01,102.41
2022-05-02,99.312
2022-05-03,102.0
2022-05-04,105.68
2022-05-05,108.2
2022-05-06,102.918
2022-05-07,102.918
2022-05-08,102.918
2022-05-09,95.551
2022-05-10,100.92
2022-05-11,97.06
2022-05-12,109.95
2022-05-13,100.334
2022-05-14,100.334
2022-05-15,100.334
2022-05-16,95.29
2022-05-17,96.46
2022-05-18,97.343
2022-05-19,93.435
2022-05-20,90.582
2022-05-21,90.582
2022-05-22,90.582
2022-05-23,86.24
2022-05-24,87.75
2022-05-25,91.23
2022-05-26,89.78
2022-05-27,90.483
2022-05-28,90.483
2022-05-29,90.483
2022-05-30,91.97
2022-05-31,96.457
2022-06-01,88.057
2022-06-02,85.955
2022-06-03,85.054
2022-06-04,85.054
2022-06-05,85.054
2022-06-06,84.009
2022-06-07,80.915
2022-06-08,80.904
2022-06-09,86.357
2022-06-10,84.267
2022-06-11,84.267
2022-06-12,84.267
2022-06-13,84.639
2022-06-14,97.924
2022-06-15,122.261
2022-06-16,128.237
2022-06-17,120.876
2022-06-18,120.876
2022-06-19,120.876
2022-06-20,124.768
2022-06-21,127.922
2022-06-22,130.182
2022-06-23,137.594
2022-06-24,132.529
2022-06-25,132.529
2022-06-26,132.529
2022-06-27,134.211
2022-06-28,134.806
2022-06-29,144.98
2022-06-30,150.1
2022-07-01,152.3
2022-07-02,152.3
2022-07-03,152.3
2022-07-04,168.871
2022-07-05,170.355
2022-07-06,175.14
2022-07-07,188.43
2022-07-08,180.66
2022-07-09,180.66
2022-07-10,180.66
2022-07-11,169.598
2022-07-12,177.323
2022-07-13,184.412
2022-07-14,179.107
2022-07-15,163.72
2022-07-16,163.72
2022-07-17,163.72
2022-07-18,161.09
2022-07-19,158.83
2022-07-20,159.26
2022-07-21,159.775
2022-07-22,164.461
2022-07-23,164.461
2022-07-24,164.461
2022-07-25,180.275
2022-07-26,204.76
2022-07-27,210.502
2022-07-28,203.335
2022-07-29,193.895
2022-07-30,193.895
2022-07-31,193.895
2022-08-01,204.225
2022-08-02,206.932
2022-08-03,201.188
2022-08-04,200.998
2022-08-05,198.1
2022-08-06,198.1
2022-08-07,198.1
2022-08-08,194.637
2022-08-09,193.128
2022-08-10,206.16
2022-08-11,208.541
2022-08-12,206.662
2022-08-13,206.662
2022-08-14,206.662
2022-08-15,220.3
2022-08-16,226.589
2022-08-17,226.303
2022-08-18,241.082
2022-08-19,243.95
2022-08-20,243.95
2022-08-21,243.95
2022-08-22,276.07
2022-08-23,268.652
2022-08-24,291.7
2022-08-25,321.51
2022-08-26,337.09
